chapter_number,cover_page,in_depth_summary,error
195,"Hatchan's Sea-Floor Stroll, Vol. 12: ""Camie the Mermaid and Pappag the Starfish"".
Hatchan is shocked to see a young mermaid and a starfish—evidently the Sea Boar's would-be meal—bursting free.","Starting off from where Zoro had thrown a building at Mr. 1, the swordsman is frustrated over his inability to understand his old master's words concerning a swordsman's ability to cut steel or not. Stubbornly, Zoro continues to believe that his method of pushing with all his strength is the key to cutting steel.

As Mr. 1 destroys the thrown building with Atomic Spar, Zoro leaps forward through the debris and meets Mr. 1 head on. Beginning with a series of quick strikes, the swordsman spins around and strikes the assassin's jaw. Returning with a kick, Mr. 1's attack is parried by Zoro who again moves to land a blow on his opponent's jaw and sending him backwards. A third blow to the head, Zoro lands his Three Sword Style: Gazami Dori technique which throws the assassin into the air.

Completely unharmed, each fighter comments on the other's tenacity. Mr. 1 then gives Zoro a warning, and that is to not think of him as a swordsman but as a proper assassin. Creating circular blades that run down his forearms and begin to spin at high speeds, the two clash again with sparks being created from the spinning blades striking Zoro's swords. Landing a devastating blow across Zoro's chest, the assassin does not stop as he proceeds to land a direct strike into Zoro's gut which launches the swordsman into a nearby pillar. Not giving up, Zoro attempts to get up again only for Mr. 1 to question his determination. Choosing to end it, the assassin delivers a direct Spar Break to the critically injured swordsman, also cutting apart the support pillar behind the man.

Believing him finished, Mr. 1 begins to walk away as the building above gives way without its support pillar; the debris seemingly falling right on top of Zoro. Against all odds however, the swordsman stands up again despite his grave injuries. Shocked at how he wasn't struck by any of the falling rocks, Zoro mentally responds that he did not dodge them all, but knew that none would hit him. Sensing one of his swords underneath a nearby stone, Zoro retrieves it and begins to notice the 'breathing' of the world around him, cutting a nearby tree branch, however the tree branch remained unscathed.

Finally understanding his old sensei's words; Zoro prepares to meet Mr. 1's final attack with one of his own, an One Sword Style technique. The assassin asks if one sword would be enough before charging ahead with Atomic Spurt, confident in his ability to finally kill Zoro. However using his new technique, One Sword Style Iai: Shishi Sonson, Zoro successfully cuts through Mr. 1's steel body for the first time and defeats the assassin.",
196,"Hatchan's Sea-Floor Stroll, Vol. 13: ""The Would-Be Fish Food's Would-Be Fish Food Saved By Hachi, As A Shadow Draws Near"".
Still puzzled, Hatchan nonetheless accepts the mermaid Camie's (and her starfish friend's) thanks for being rescued. Unnoticed by all three, a figure peeks out from behind a nearby rock.","At the palace of Alubarna, before Chaka could attack Crocodile, a number of mysterious figures appear to interrupt him, revealed to be the Tsumegeri Guards. Having gotten through the palace gates that were blocked by Miss All Sunday, the Tsumegeri Guards prepare to attack, respectfully ignoring Cobra's pleas to not attack Crocodile. Crocodile gives them one chance to retreat, however they ignore him, and Chaka notices strange marks on the Tsumegeri Guards, showing immediate concern. Miss All Sunday offers to fight them, however Crocodile declined. Cobra and Vivi also notice something ""off"" about the Tsumegeri Guards, and they realize they drank the Hero Water, special water that increases their power for a brief period of time, which will later kill them. Desperate to show Crocodile how much Arabasta has suffered, the Tsumegeri Guards attack him, however he evades by turning into sand. Mocking the Tsumegeri Guards, Crocodile sits behind and waits while they suffer from the fatal side effects of drinking the Hero Water.

Chaka, enraged, transforms and goes after Crocodile, who notices that he is a Zoan Devil Fruit eater. Chaka reveals he has eaten the Inu Inu no Mi, Model: Jackal, transforming into a jackal, and attacks Crocodile with Howling Fangs, however the Warlord evades again by turning into sand, commenting that Chaka is also the type to die for others.

Back at the northern area, Mr. 1, defeated by Zoro, expresses surprise that Zoro grew so much in a single fight. Mr. 1 asks if Zoro is going to start cutting through diamond next, and Zoro replies that would be a waste, while Mr. 1 faints. While Zoro wonders how the others are doing, he collapses, having lost too much blood. Sanji reflects back to Usopp complaining over being paired with Matsuge, who is a camel, and tells Usopp he only saves ladies when Usopp demanded Sanji to save them when they are in trouble. Back in real time, Sanji asks why Usopp was crying, and Usopp said that he was told by Miss Merry Christmas that Luffy was dead. Sanji, telling Usopp and Chopper not to believe that, informs them that getting to the palace is their top priority. Nami, managing to untangle the wires around an unconscious Miss Doublefinger from her Clima-Tact, realizes the rebels are reaching farther into the city, and begins to make her way to the palace to rendezvous with the others.

At the palace, Vivi, Cobra, and the royal army are concerned for Chaka, who was effortlessly defeated by Crocodile. While an unknown figure calls out for Vivi, a timer until the bomb explosion is revealed, showing there are 25 minutes left.",
197,"Hatchan's Sea-Floor Stroll, Vol. 14: ""Introducing the Macro Fish-Man Pirates"".
The figure spying on Hatchan reveals itself to be another fish-man, Macro, who heads his own pirate gang.","The mysterious figure calling Vivi's name from the previous chapter is revealed to be Koza, who is shocked to see members of the royal army, including Chaka and Cobra, beaten and immobilized by Crocodile, the ""country's hero"". Crocodile and Miss All Sunday's words and presence make Koza realize the current situation, and asks Vivi who stole Arabasta's rain. Crocodile tells Koza it was him, and also mentions how amusing it was to have Koza, and the royal and rebel armies dancing on the palm of his hand. While Crocodile continues mocking Koza, Cobra tells Koza not to listen to him, and suggests to him to go out and try to prevent anymore needless bloodshed from happening. As Chaka tells Koza that Alubarna will be destroyed in less than half an hour, Koza hurries away from the palace, only to be stopped by Vivi. Vivi shouts at Koza that telling the rebels about the bomb would create too much confusion and the war would not stop and no one will be saved that way, prompting Crocodile to praise Vivi's judgment. While Vivi tells Koza to try and stop the rebellion, Crocodile steps forward, not wanting that to happen, and attacks Koza, however a greatly injured Chaka manages to block the attack. Chaka says that as long as he has breath in him, he will fight, and Crocodile mentions that was what stupidity is. As Chaka offers to hold back Crocodile, Koza has a flashback of training under Chaka as a child.

It is then announced that the rebels are making their way to the northern area and has almost reached the palace. Vivi and Koza yell to the confused royal army members to hold up white flags, signaling their surrender. Koza, wanting to stop the war altogether, also wishes to tell the rebel army that the entire fight was pointless. The rebels appear, only to realize the royal army, including Koza, are waving white flags. Koza attempts to tell the rebels the fight is over, however he is shot from behind by a few royal army members, shown to be Baroque Works members incognito. Thinking the royal army is rebelling, the rebels begin to attack.",
198,"Color Spread: The Straw Hat Pirates stop by a tropical lagoon. Vivi, rising late, finds the others already awake and having fun.","As Koza has been shot by Baroque Works members disguised as royal army members, a member of the royal army confronts them, not knowing they are spies, and demands to know why they shot Koza. Crocodile then creates sand in between the royal army and rebel army, obscuring both sides' eyesight. More royal army members are shot, revealing that Baroque Works members infiltrated both sides to make sure they continue fighting. Ignoring Vivi's and Koza's pleas to stop fighting, the rebel and royal army engage each other yet again. Miss All Sunday praises Vivi's determination, however she comments that Vivi's voice cannot reach them now. Vivi declines Cobra's demand to escape from Crocodile, confronting the Warlord and telling him that she still can save lives if she prevents the explosion 15 minutes from now. Grabbing Vivi's throat, Crocodile mocks her, saying that idealism can only be brought to realize by people with the ability to physically make it happen. Crocodile criticizes Vivi's decision of not telling the rebels about the explosion in 15 minutes, commenting that even though there would be panic, she would at least be able to save a few thousand lives. Crocodile then praises Vivi's hard work the past 2 years by spying on his organization from the inside, however he boldly tells her that she cannot save this country.

As he drops her off the palace wall, a flying figure arrives, much to the shock of Crocodile, who notices Luffy riding on top of the flying figure, having survived the previous confrontation. While Luffy yells out Crocodile's name in anger, Crocodile shows visible annoyance that Luffy has returned, while Vivi is relieved.",
199,"Hatchan's Sea-Floor Stroll, Vol. 15: ""Reunion With Dear Old Friends"".
Despite apprehensions from Camie and Pappag, Hatchan embraces Macro and his gang as long-time comrades.","Luffy and Pell manage to catch Vivi in the air, who was falling to her death. Vivi tearfully tells Luffy that the main regiment soldiers were beaten, the central square will be blown up, and that she cannot save her country, while Luffy comforts her, telling her that her voice reached them just fine. Zoro and Nami, both injured from their fights, are seen running toward the plaza, Zoro carrying Nami despite his more serious injuries. Landing in front of the palace, Pell tells Luffy to be careful, and Luffy replies that he won't lose anymore, after eating a ton of meat and his blood is surging. Usopp, Chopper, Sanji, Zoro and Nami, all noticing that Luffy has returned, all arrive at the front of the palace, while Vivi expresses relief that they are all okay. Nami knocks Usopp to the ground for giving her so much trouble, asking him why would she think she would want a ""toy for parties"". Usopp tells Chopper to bury his body in the wilderness, while Sanji confronts Zoro for letting Nami get injured. Luffy, apologizing to his crew for losing, tells them that it's time to change everything, pulling himself to the palace rooftop to confront Crocodile.

As Crocodile reminds Luffy that he cannot be touched, Luffy manages to land a punch on the Warlord, knocking a surprised Crocodile back while Luffy grabs him and uses Gomu Gomu no Buzzsaw. Cobra is surprised that Luffy could hit Crocodile when so many others couldn't, while Miss All Sunday is shown to be visibly impressed. Crocodile then realizes how Luffy is able to touch him, pointing out that the giant barrel Luffy is carrying on his back is full of water. Luffy recalls that in their first confrontation, he was able to grab Crocodile's arm when it was covered with water, and deduces that due to water being Crocodile's weakness, that is the reason why he stole Arabasta's rain. Squirting more water onto his fists, Luffy prepares to fight, telling Crocodile their fight is only just beginning.",
200,"Hatchan's Sea-Floor Stroll, Vol. 16: ""Surprise Camie!! Mermaid For A Takoyaki Map"".
Old friends before the new: Hatchan immediately trades a horrified Camie to the Macro gang for a treasure map promising legendary takoyaki.","In Alubarna, Usopp is asked to find the shooter that will set off the bomb to blow up the city. Usopp states that since the bomb will produce a five kilometer blast radius, the shooter must be about 2.5 kilometers away. However, Vivi states that the shooters could be very close, as Crocodile would be the kind of person to kill his own comrades. Zoro and Sanji react in surprise, but suddenly notice and knock out a Baroque Works soldier trying to attack Vivi, stunning the group. Looking up, they see a large group of Baroque Works soldiers who say that if they kill Princess Vivi, they will earn a promotion. Sanji asks Zoro how much time he plans on taking, and Zoro states that they have to make every second count. Turning back to the soldiers, they state ""two seconds"" and begin their attack. Chopper, Usopp, Nami, Pell, and Vivi escape, looking to find somewhere safe. With the soldiers taken care of, Zoro and Sanji leave too, as Vivi wonders if they will be able to make it with only ten minutes left.

At the palace, Crocodile asks Luffy if he wants to defeat him, and Luffy answers with a yes. Crocodile says that even though Luffy was in danger, he could still see through his ability, but due to his age, Luffy thinks that with the knowledge, he will be able to defeat Crocodile. Crocodile says that this is wrong, and that he is one of the Seven Warlords of the Sea, prompting Luffy to say he is the eighth god. Nefertari Cobra is surprised to see Luffy, and Miss All Sunday tells him that Luffy is a pirate and that Luffy will be able to live a little longer. Cobra states that Luffy is the one who brought Vivi to Arabasta, and Luffy launches a punch aimed at Crocodile's head. However, Crocodile easily dodges and grabs Luffy's arm, aiming to suck it dry with his powers. Luffy, having forgotten, kicks at Crocodile's head but misses and flies by. He drinks some more water and pours it over his head, saying that Crocodile had said that a Devil Fruit becomes stronger if it is used in different ways. Luffy then punches again, but strums his arm, making it appear as several punches at once, using Gomu Gomu no Shotgun. Crocodile attacks with Desert Spada, destroying part of the palace, but Luffy dodges and punches at Crocodile again.

Crocodile says that Luffy always uses the same technique, but this time, Luffy runs at Crocodile and smacks him in the face, saying that he is totally confident. Crocodile falls, and Luffy tries to soak the Warlord by throwing the whole water barrel at him; however, Crocodile uses Sables to create a sandstorm that nearly blows Luffy away. Luffy barely manages to save the water barrel, and Crocodile laughs at him, saying that Luffy is really getting into the fight. Crocodile continues, saying the fight is no different, because if Luffy loses the water barrel then he is out of tricks. Luffy then states that he is different from last time, and drinks all the water, causing Crocodile to wonder if he is serious. However, he springs a leak, causing Miss All Sunday to laugh and causing Crocodile to wonder if he understands the situation. Crocodile yells at Luffy, asking him if he is joking, but Luffy spits water on him before hitting Crocodile with a Gomu Gomu no Bazooka, saying he is always serious.",
201,"Color Spread: ""(One thing I can tell you is...) YOU GOT TO BE FREE"".
The Straw Hat Pirates prepare for action (save for Nami, who is enjoying a drink from a tray atop a little bulldog's head).","With Luffy turning into Mizu Luffy, he attacks Crocodile with more success this time. Cobra is surprised to see how Luffy could hit and attack Crocodile but Miss All Sunday states that it is not the time for him to appreciate it and that he must hurry and take her to the poneglyph. Cobra asks to what reason does she have to see the poneglyph but Robin answers that it does not matter to him. Crocodile yells out Nico Robin's name to hurry up if she does not want to get dry too, shocking Cobra upon hearing her name.

An enraged Crocodile turns the grass and trees yellow and dries the entire ground, making big cracks. Luffy, nearly falling on one, fires a ""water gun"" attack but Crocodile easily absorbs it with his right hand and states that Water Luffy has not taken away his ability and that his right hand can absorb moisture without limits, thus, turning everything back into sand using Ground Secco while touching the ground.

Meanwhile, Miss All Sunday, taking Cobra as hostage, encounters the Marines with Tashigi leading. Miss All Sunday orders them to get out of her way but the Marines tell her that it is hard to obey that with what happened in Alubarna. Miss All Sunday then retaliates that as long as they are ""government dogs"", she hates them, and that ""if you guys do not get out the way.."" But was interrupted by Tashigi saying they have no meaning to do so. Miss All Sunday states then that she has to kill them but Cobra yells to the Marines that they must stop and not to worry about him, he then reveals to them about the bomb which will go off at 4:30 which is only seven minutes away. Tashigi then assures him that they will save him and stop her but Miss All Sunday attacks the Marines using her powers. A Marine, seeing her Devil Fruit power, realizes that she is Nico Robin, the 8-yr old girl from 20 years ago who sank 6 marine ships and had a bounty of  79,000,000 but suddenly disappeared. An angered Miss All Sunday yells at them if they want to live or die. Tashigi then thinks that because of her ability, even with a difference in number, they still cannot do a thing to her, so she orders a sergeant to get everyone to the palace ground and stop the bomb. With Tashigi alone, she is still overwhelmed by Miss All Sunday, who easily takes Tashigi's Shigure sword and points directly at her throat.

Back at the palace, Luffy is hanging to a rail, while under him is the palace's lawn turned into a desert. Luffy looks for Crocodile, who then suddenly appears before him and grabs his neck. Luffy fires a water gun attack but Crocodile dodges it and completely dehydrates him, stating that Luffy has lost again.",
202,"Hatchan's Sea-Floor Stroll, Vol. 17: ""Search for the Legendary Scrumptious Takoyaki Recipe"".
Hatchan practically flies across the sea, dreaming of untold culinary delights at the end of his new map.","Having defeated Luffy for the second time, Crocodile drops the dehydrated Straw Hat captain, telling him to rest easy as the bomb will explode in 6 minutes. As Crocodile prepares to head to the royal crypt, where the poneglyph is located, the shots of water Luffy fired from earlier fall back down and land on him, re-hydrating him and saving his life. Revitalized, Luffy begins to chase after Crocodile. At the western part of Alubarna, Cobra leads Miss All Sunday down a hidden staircase, which leads to the poneglyph in an underground chamber. Cobra asks Miss All Sunday if she could decipher poneglyphs, and Miss All Sunday replies that she could, which is the reason why Crocodile partnered up with her and avoids killing her. Miss All Sunday asks Cobra if the poneglyph showed the location of Pluton, while Cobra replies that he doesn't know, telling her that it has been the duty of the royal family of Arabasta to protect the poneglyph for generations. They both end up locating the poneglyph deep in the underground chamber.

Back on the surface, Usopp is seen imitating Crocodile, while Zoro hits him, asking him what the hell he is doing. Usopp explains that he is trying to step in Crocodile's shoes to help him figure out where he hid the bomb, while Zoro tells him to shut up and keep searching as they only got 5 minutes left. Nami asks Chopper if he could sniff out the bomb with his nose, while Chopper replies he couldn't, as the entire town smells like gunpowder. Nami suggests that Chopper try to pick out the scent of a bomb aiming to destroy the central square, prompting Chopper to ask her what kind of scent that is. Sanji deduces that due to the bomb's blast diameter of 5 km, the cannon would be very close to the palace square as it would have low accuracy, and begins to kick his way through buildings as he has no time to run around them all. Vivi asks Pell if he could find the bomb on the city rooftops, while Pell says that he couldn't.

Tashigi, grounded and beaten, grabs her sword as she is confronted by Luffy, who asks her which way Crocodile went. Tashigi hesitates, recalling Crocodile confronting her after she was defeated by Miss All Sunday. Crocodile teases her, telling her that the weak cannot upload justice, also telling her to run back to base to discuss justice as much as she wants there. Obviously offended by his words, Tashigi continues to hesitate, but then points the direction he went to, as Luffy hurries towards that direction. Upset, Tashigi bangs her head on the ground, telling herself that the ideals of ""justice"" and ""Marine HQ"" are a joke.

Luffy, running towards the royal crypt, suddenly collapses due to his injuries. Despite having eaten so much meat, Luffy tries to get back up, but realizes he is a bit tired, and suddenly falls unconscious on the ground. Crocodile notices the hidden staircase as Miss All Sunday tries to read the poneglyph. It is revealed that as the Straw Hat Pirates desperately search for the cannon, the bomb will explode in 4 minutes.",
203,"Hatchan's Sea-Floor Stroll, Vol. 18: ""Propose One More Time to Dear, Sweet Octopako"".
Hatchan recalls how a former love rejected him for making inadequate takoyaki—and hopes he can still win her heart.","As Miss All Sunday reads through the poneglyph, she shows frustration that just this is everything this country is hiding. Crocodile then arrives, praising the fact the poneglyph was well hidden. Crocodile tells Miss All Sunday to read the poneglyph aloud, which she does, reading aloud many facts about Arabasta's history. Crocodile interrupts her, telling her he is disinterested in the country's history and he only wants to know where the location of Pluton is. Miss All Sunday tells Crocodile that there is no mention of Pluton on the poneglyph, much to the Warlord's disappointment, however he mentions that he will now dispose of Miss All Sunday, telling her she was more than a capable partner.

Crocodile comments that their 4-year arrangement has ended, as she had led him to the poneglyph as promised, saying she has been an incredibly useful woman whose contributions to Baroque Works are invaluable. As Crocodile tells Miss All Sunday she failed him for not giving him any information on Pluton, he attacks her, which she barely dodges. Miss All Sunday, revealing she was waiting for Crocodile to resort to this, pulls out a container of water from her coat, fully aware of his weakness. Before she could pour the water on Crocodile, he turns into sand and dodges, appearing behind Miss All Sunday and impaling her with his hook. As Miss All Sunday falls to the ground injured, Crocodile tells her he forgives her, stating he never trusted anyone from the beginning.

Crocodile states he is aware that Pluton exists due to Cobra's reaction upon him mentioning the name, realizing he can find it without needing the poneglyphs. There is a rumble in the underground chamber, as Crocodile comments it is too soon for the bomb to explode. Cobra reveals he moved a small pillar to prepare to bring the entire chamber down, wishing to take Crocodile down along with himself. Crocodile, praising his motives, tells him that he can escape due to his Devil Fruit powers, and begins to laugh over the fact that in 3 minutes all his problems will be dealt with and he can take over Arabasta.

Back on the surface, Vivi trips and falls while she desperately runs around to search for the cannon. Ignoring her leg injury, she tries to think of where the bomb would be with 2 minutes left. As Usopp is hit by a stray bullet from a royal army member, he retaliates with his Smoke Star while Vivi manages to figure out where the cannon is located. Usopp, trusting her judgment, fires his Red Snake Star, which appears as a red flare to alert the other Straw Hats to their location. Luffy wakes up, having taken a short nap, and finds the hidden staircase, knowing he is close to Crocodile.",
204,"Hatchan's Sea-Floor Stroll, Vol. 19: ""The Map Marks the Spot of the Great Octopus Mash"".
One bad octopus deserves another: Hatchan finds the ""legendary takoyaki recipe"" leads to a huge, ferocious beast.","Luffy enters the basement and continues to look for Crocodile. He dodges the falling pillars, pointing out that the whole chamber is falling apart. Meanwhile, Vivi assures Usopp that the bomb is in the clock tower. Usopp writes a note for everyone else while Vivi goes ahead of him. Baroque Works find Vivi by Usopp's signal. Zoro, Sanji, Nami, and Chopper head to the signal. Usopp scratches a blackboard with his fingernails, using Usopp Noise, to make a high noise that hurts everyone's ears near him. He then grabs Vivi's hand and runs away, but Baroque Works chase after them.

Luffy finally confronts Crocodile. Crocodile, angry about Luffy still being alive, asks how many times does he have to kill Luffy until he is satisfied. Luffy replies that he had taken something from him, the country. He has flashbacks of Vivi. He goes and kicks Crocodile's face, Crocodile gets up and becomes angry. Luffy screams Crocodile's name and punches him in the face. As Crocodile wonders how Luffy can still touch him even without water, he realizes that Luffy is using the blood on his hands, which is just as effective. Luffy kicks Crocodile in the stomach. Crocodile takes the upper part of his hook to reveal a poisonous hook. Luffy and Crocodile get into fighting positions and start their third and last fight, surrounded by falling rubble.

Meanwhile, the Marines spot Zoro running. As Zoro prepares to fight them, the Marines yell at Zoro that he is going the wrong way, and they tell him to go north to reach the clock tower. More Marines defeat Baroque Works, Vivi tells Usopp to hurry but he is confused. Tashigi is among the Marines and tells Vivi and Usopp that they will protect them and to hurry to stop the explosion from happening.",
205,"Hatchan's Sea-Floor Stroll, Vol. 20: ""Wrath of the Hoodwinked Hachi!!""
Concluding that Macro has tricked him, Hatchan flies into a rage, beating Mash senseless in the process.","As members of the rebel army and royal army continue their fighting, Vivi grows distracted while running towards the clock tower. Usopp, relieved the Marines are helping them, tells Vivi not to look or think about the fighting and just concentrate on stopping the explosion. With a minute and a half left, Usopp and Vivi reach the clock tower, meeting up with Nami and Chopper. Vivi then tells them the bomb is located at the absolute top of the tower. Pell flies around, trying to find the location of the smoke flare Usopp sent earlier, but he is suddenly shot in the air. A mysterious figure points out that they shot down Pell with their ""Ribbit Ribbit Gun"".

In the underground chamber, Luffy continues his battle with Crocodile, dodging the Warlord's poisoned hook attack. Luffy lunges forward, preparing to use Gomu Gomu no Bullet, but he stops himself as Crocodile extends his right arm, knowing that if Crocodile manages to grab him, he will become instantly mummified again. Luffy begins to struggle trying to land attacks while avoiding Crocodile's right hand and his poison hook. Luffy attacks again, but he is struck by Crocodile's poison hook. Knocked back by a kick from Luffy, Crocodile comments that it is now over, as his poison will spread all throughout Luffy's body. Luffy then tells the Warlord that he doesn't understand a single thing.

Back at the clock tower, Vivi tries to search for Pell, planning to use his ability to fly to reach the top of the tower. Nami and Usopp point out that they are forced to use the stairs as they have one minute left, as Sanji suddenly appears on a high floor of the building, waving down at the others. Zoro also appears, at an even higher floor, his explanation being that the Marines told him to go north, which he mistook as ""up"". Vivi begins to lose hope, as she points out that the clock tower can only be reached by a secret staircase, any forcefully entering would probably trigger the explosion prematurely. Nami stops Vivi from going to the stairs, stating she has a plan. The Straw Hats notice two figures standing by the bomb in the clock tower, revealed to be Mr. 7 and Miss Father's Day, the latter responsible for shooting Pell out of the air. There are 30 seconds left until the bomb explodes.",
206,"Hatchan's Sea-Floor Stroll, Vol. 21: ""Where Are They?""
Hatchan rushes back to the spot he met Macro; though the gang is long gone, Pappag is still there to point the way.","Members of Baroque Works disguised as the rebel army confront the Marines, asking them if they would really attack innocent civilians getting caught into the battle. Tashigi cuts him off, cutting him down, then telling the Marines to use their own senses to identify the enemies. Tashigi then notices that there is hardly any time left before 4:30. At the clock tower, Mr. 7 and Miss Father's Day wonder if they will be promoted if they succeed in their mission. With time running out, Mr. 7 prepares to light the fuse to the cannon holding the bomb.

In the underground chamber, Crocodile wonders why Luffy can keep on fighting despite the odds, as Luffy continues to relentlessly attack the Warlord. Luffy uses Gomu Gomu no Gatling, which Crocodile manages to dodge with high speed. Crocodile mentions that Luffy is growing numb from the poison, also mentioning that win or lose, Luffy will be buried under rubble, calling it a miracle that Luffy can still stand after 2 prior fights with him and taking a ridiculous amount of damage.

Back at the clock tower, Mr. 7 prepares to light the fuse to the bomb, with 15 seconds left. Nami begins to go through with her plan, calculating something while Chopper, in his Walk Point, stands on top of Usopp, with Vivi sitting on top of Chopper. Miss Father's Day tells Mr. 7 she wishes to do a countdown, with 13 seconds left. Nami uses Cyclone Tempo, aiming for Usopp's crotch, prompting him to propel himself along with Chopper and Vivi high into the air, to Sanji's location. Chopper, carrying Vivi with him, then jump on Sanji's leg, who launches them even higher to Zoro's location. Zoro prepares to launch Vivi and Chopper using his swords, while he warns Vivi that two weirdos are up there with the bomb. There are 10 seconds left. Before Zoro could launch, Mr. 7 and Miss Father's Day notice the Straw Hats, preparing to fire at them while they are stuck airborne.

Meanwhile at the chamber, Crocodile yells at Luffy that he could have avoided all of this if he had just abandoned a couple friends, and Luffy yells back saying that because Vivi is his friend, he doesn't want her to die, arguing that as long as Vivi doesn't give up on her country, he and his crew won't stop fighting either, even if they die.

With 7 seconds left, Zoro plans to launch Chopper and Vivi towards the bomb, as Mr. 7 and Miss Father's Day aim their guns at them, telling Chopper it is up to him.",
207,"Hatchan's Sea-Floor Stroll, Vol. 22: ""Macro the Mermaid Seller"".
The Macro Pirates ride high on the seas, with Camie trapped in a special compartment on their ship.","Luffy ends up collapsing due to his injuries and the poison circulating through his body, while Crocodile mocks him. Crocodile then tells him that if he (Luffy) cannot defeat him, then everything Luffy has been through up until now will have been for naught. Crocodile then criticizes Luffy, calling him a small-time pirate who had just starting sailing, and mocks him even further.

At the clock tower, Zoro launches Chopper and Vivi upwards, as Mr. 7 and Miss Father's Day fire their weapons at Zoro, further injuring the swordsman. Chopper is shown in his Heavy Point, having thrown Vivi toward the tower with all his might, and transforms back to his Brain Point to dodge Mr. 7 and Miss Father's Day's attack in the air. With 3 seconds left, Vivi, flying towards the Baroque Works agents, uses her Kujakki String Slasher Runback to evade the sniping duo's attack and knock them out of the clock tower.

With one second left, Vivi desperately tries to put out the fuse, while Crocodile shouts out that it's over. While awaiting the fate of Alubarna, a flashback is shown of several children asking a young Vivi to play with them. A royal army member asks Chaka to do something about the kids, while Pell tells Vivi to have fun as she heads out for a secret base. Later, Chaka asks Pell where Vivi has gone, only for Pell to reply that it's a secret. Chaka, however, realizes she headed for the clock tower, commenting that the weather is nice.

Back in real time, Usopp asks if they were successful in stopping the explosion, as the rebels and royals continue fighting. It was revealed that Vivi managed to cut the fuse with her Peacock Slashers just in the nick of time. However, a ticking sound can still be heard, and Crocodile explains to Cobra that a plan is something that covers all possible scenarios, revealing that the bomb is actually a timer to explode on its own (with the difference amounting to several seconds), Crocodile having set this up just in case something went wrong with the manual fuse. Vivi, confirming this, relays this information to the perplexed Straw Hat Pirates.",
208,"Hatchan's Sea-Floor Stroll, Vol. 23: ""Takoyaki Punch!!""
Hatchan catches up to the Macro Pirates, and easily destroys their ship with a flurry of punches.","As Vivi watches the ticking bomb, she remembers Crocodile's words, calling her idealism unbearable and sickening, and that no matter what she does she cannot save this country. The Straw Hats realize that the ticking bomb will still destroy most of Alubarna with 5 km blast diameter, and they begin to panic. Vivi, furious at Crocodile for constantly making people look like fools, starts to cry in anguish, as someone is seen standing behind her.

At the underground chamber, Luffy stands back up, claiming that Crocodile can't beat him. Crocodile remarks that Luffy is on the verge of death, and his words at this point are all bark and no bite. While Luffy yells out that he will become the Pirate King, Crocodile attacks him with his hook, which Luffy dodges and uses his leg to divert the attack to the ground, breaking the hook. Luffy then says he will surpass Crocodile.

The man standing behind Vivi is revealed to be Pell, who calmly remembers Vivi's childhood and the Sand-Sand Clan while Vivi desperately tries to tell him about the ticking bomb. In a flashback, Pell angrily slaps a young Vivi, asking her why she is in a dangerous place, also asking her what would he do if she had been seriously hurt. Vivi is then shown riding on top of Pell in his Falcon form, even though the king has forbidden this. Vivi asks why Pell trains, and Pell responds by needing to get stronger to protect what needs to be protected. Back in real time, Pell mentions to Vivi that protecting the Nefertari household is considered to be his proudest honor.

Pell then transforms into a falcon and uses his talons to grab the bomb, flying high in the air, much to the shock of Vivi and the Straw Hats watching him. As Pell says to himself that he is the guardian of Arabasta that vanquishes all enemies of the royal household, he flies higher and higher into the air, when the bomb finally explodes, letting off a tremendous explosion, however Alubarna remained unharmed.",
209,"Hatchan's Sea-Floor Stroll, Vol. 24: ""Nobody Tricked You"".
While a freed Camie reunites with a relieved Pappag, the beaten Macro Pirates protest that they'd fully honored the deal, much to Hatchan's confusion.","Even from the great height above Alubarna, the bomb's blast radius reaches the fighting armies below and blows most off of their feet; including Tashigi and Usopp. Shocked, Vivi and the Straw Hat Pirates are the only ones to witness Pell's sacrifice to save the country.

However, it is not long before Usopp and Chopper notice the rebels and royal army standing up again only to continue the now pointless war. Tashigi tries to intervene in the fight, only for a nearby marine to pull her aside from the dangerous battle. Calling from above, Vivi yells for the armies to stop fighting over and over again, however her voice fails to reach the soldiers fighting below. Touched by her words, Nami pleads with her crewmates to help stop the fighting and save anyone they can as Vivi continues to shout from above.

Back inside the Tomb of the Kings, Luffy and Crocodile continue their battle. Despite his normally intangible body, Crocodile is still being struck by Luffy who continues to exploit his Devil Fruit's weakness. Landing a volley of devastating blows, Crocodile is left bewildered as to where Luffy continues to draw his strength from as the poison inside his body should already be working. Thinking back to the Straw Hat Pirates' progress over Arabasta and his organization's inability to stop them, the rogue Warlord becomes enraged and reveals a secondary knife from his prosthetic. Asking the rookie before him if he even knew who he was fighting, Luffy responds by saying he does not care, and that he will surpass him.

Kicking Crocodile into the air, the powerful pirate attacks below with Sables: Pesado which creates a large shock wave upon impact. Enduring the attack, Luffy inflates himself and twists around, blowing all the air downwards to launch himself into the air with great momentum and spin. The two then launch their final techniques, only for Luffy's Gomu Gomu no Storm to overpower and breakthrough Crocodile's Desert la Spada. Beating the veteran pirate through bedrock and out into the sky over the plaza, Luffy falls into the tomb; finally defeating Crocodile.",
