chapter_number,cover_page,in_depth_summary,error
17,"Color Cover: The Straw Hats meet a crew of pirate penguins; three of these pose with Zoro's katana, while another tries to gift Nami a fish.
(Note: the penguin captain's vest reads manchot - the French for penguin.)","Luffy cheers on Zoro while Nami points out how he looks like he is about to collapse after wounding himself on purpose. Zoro swears that he will not be defeated by another swordsman. Cabaji notes Zoro's determination, but adds that Zoro can use his wounds as a excuse once he has lost the fight; Zoro responds by claiming if he loses in this condition, then his fate is obvious and he will never be the world's greatest swordsman.

Nami whispers her plan to Luffy, while Buggy and Cabaji are distracted and the rest of Buggy's crew is unconscious; they will continue fighting while she steals Buggy's treasure from a warehouse. She expects the Grand Line map is still in Buggy's possession, not with the rest of the treasure, and says that after she gets the treasure, she will escape. She reasons that whether or not Luffy and Zoro win their fight does not depend on her, so she can escape without causing any problems; and if Luffy wins the fight and gets the map, then they can ""cooperate"" again before she leaves.

As the fight between Zoro and Cabaji rages on, Cabaji begins what he calls his best trick. After launching several tops at Zoro, he rides his unicycle up a wall and leaps high into the air to prepare a downward strike. Zoro manages to deflect all of the tops, but Buggy launches his hand with his devil fruit powers to grab Zoro, so that he cannot avoid Cabaji's attack. Luffy intervenes by stepping on Buggy's hand before he can grab Zoro - while Buggy recoils in pain, Luffy tells him that he shouldn't interfere with Zoro's fight. Cabaji continues to go for his attack even without his captain's help. Zoro dodges, but becomes exhausted due to the strain of his wounds, and says that he is tired. Cabaji interrupts to insult him, before being thrown from his unicycle by Zoro. Zoro then finishes his statement, saying that he is tired of fighting an opponent with such pitiful skills. Cabaji tries to retaliate with one final strike against Zoro, but Zoro uses his ""Oni Giri"" attack to finish off Cabaji. As Cabaji falls, he admits that it is shameful to be defeated by a common thief. Zoro collapses from exhaustion as he declares himself to be a pirate, telling Luffy that he is going to sleep. Luffy promises Zoro that he will finish things off.

Buggy is shocked to learn that Luffy and Zoro are pirates. Luffy demands that Buggy should hand over the Grand Line map, but Buggy responds that the Grand Line is not a place where nobodies like Luffy can go as they please, and asks Luffy what he intends to do there. Luffy responds that he is going to be the King of the Pirates, stunning Buggy, before he also declares that he will be the Pirate King. Luffy says that they should stop talking and begin their fight, but as they prepare to fight, Buggy remarks that Luffy's hat reminds him of a red-haired man he once knew.",
18,"Animal Theater: Nami teaches a ring-tailed lemur how to draw maps; in the background, Luffy naps.","Buggy confirms the ""Red-Hair"" he mentioned was Shanks. Luffy demands he tell him where Shanks is. Buggy implies he may know where Shanks is, but Luffy calls him an idiot for the way he said it. Buggy loses his temper, asking him if he can reflect knives, only for Luffy to automatically confirm he cannot.

With that, Buggy attacks, and Luffy jumps to avoid him. Seeing Luffy in the air, Buggy points out that Luffy is now helpless as he cannot fly like Buggy. However, when he attacks, Luffy stretches his arm to a lampost and pulls himself out of the way. As Buggy's attack flies past, Luffy throws a long punch at Buggy, who dodges and tells Luffy that his power is also his weakness, and that he has now left himself open. He fails to notice that Luffy's punch has kept going, and that he has got hold of a windows ledge.  He uses the ledge to launch himself into another attack, which Buggy dodges again.

Luffy crashes into the ruins of a house behind him. After stealing the treasure, Nami watches the fight from a distance. Some of Buggy's crew decide to pretend to still be unconscious, rather than risk being killed if they get involved in the fight. Buggy launches another attack, sending out his arm holding three knives. Luffy grabs it, but Buggy separates his hand from the attacking arm to land the strike anyway. Luffy dodges, but is struck in the side of the face by one of the knives. The blow then pierces Luffy's straw hat.

Buggy mocks Luffy, thinking he is upset by his face being cut. Luffy reveals he is instead angry, because that last attack damaged his hat. Seeing Luffy call the hat his treasure, Buggy pulls his hand back towards him, with the hat run through by his knives. As Buggy holds the hat up, Luffy remembers the promise he made on the hat and runs after it. When he hears Luffy saying the hat belonged to Shanks, Buggy throws it to the ground, and explains he was once friends with Shanks. After Buggy spits on the hat, Luffy refuses to hear Buggy compare himself to Shanks, and throws a furious punch. Buggy separates his head while laughing, but Luffy instead hits him in the stomach.",
19,"Animal Theater: Sitting atop a crate labeled ""DANGER"", Luffy prepares to brush a hippo's teeth.","Luffy is still mad that Buggy said Shanks was his friend, but Buggy insists he can say what he wants about the pirate. Buggy begins to separate his body, but Luffy hits him to stop him. The Buggy Pirates lying on the ground cannot believe their captain is losing. Nami suddenly realizes she is caught up in watching the fight.

Back at the camp outside the village, the villagers are now worried about their mayor. When Poro decides to head into town to find him, he is supported by the others, and they all go.

Buggy claims Shanks is the one person who has angered him the most over the years. He has a flashback about their time as fellow pirates. Shanks and Buggy are fighting on a pirate ship about whether the North Pole or South Pole is colder. An unnamed senior member of the crew steps in and stops their fight by banging their heads together, telling them if they really want to find to prove which is colder, then they should go and find out themselves.

A lookout tells the crew that there is an approaching vessel, and they prepare themselves for a fight. Buggy is delighted by the thought of getting some treasure from the ship, but Shanks replies there is more to being a pirate than treasure, despite what Buggy thinks. During the fight, Buggy finds a treasure map to an underwater treasure horde. Buggy hides the map, so he can claim the treasure himself.

Later that night, Shanks leaves a wild party on the ship to ask Buggy why he is not joining in, and explains they found a rare treasure on the enemy ship. Buggy shows signs of guilt, leaving Shanks wondering what Buggy is concealing. Since Buggy is convinced his plan will succeed, he discusses his future with Shanks and talks about leaving the ship. Shanks says he might also leave, find a crew and travel around the world as a pirate. Buggy mocks his ideas, telling Shanks he's too naïve and innocent to ever make it as a pirate, and that if it wasn't for his crazy ideas, he would have him on his crew. Shanks declines on the grounds that their views are too different, and they agree if they ever meet on the sea they will fight to the end.

Shanks reveals that the party was because they had found a Devil Fruit; after telling Buggy the powers and value of the fruit, Buggy makes up his mind to eat it the next day. In front of the entire crew, he swallows the Devil Fruit whole. He tells the others the fruit had no effect on him, and they all dismiss the stories they've heard about the Devil Fruits. Unknown to them, Buggy had already switched the fruit with a fake, and plans to sell it. That night, Buggy plans to leave the crew and begin his dream of becoming a pirate. Shanks surprises him by appearing suddenly; in desperation he hides the Devil Fruit in his mouth and the map in his jacket. Buggy manages to get Shanks to leave, but as he lets out a sigh of relief, Shanks once again pops up behind him, startling Buggy and causing him to swallow the Devil Fruit.

Buggy is in complete shock at what he has done, but before he could finish yelling at Shanks, Shanks points out a fluttering piece of paper heading over the side of the ship. Buggy realizes this is his map and leaps after it; as he lands in the water, he discovers the story about the sea turning against Devil Fruit users is true, and he is unable to swim. Up on the ship, the crew gathers wondering why Buggy has not come up yet since he is a good swimmer, and Shanks eventually dives into the water after him.

After hearing Buggy's story, Luffy is relieved to hear Shanks saved Buggy's life. This infuriates Buggy, as his plans were set back ten years due to losing the Devil Fruit. Buggy notices Nami with the stolen treasure, and launches the upper half of his body at her.",
20,"Animal Theater: Zoro cuts through a bamboo forest while his panda ""trainer"" follows behind, eating the stalks.","Nami is being chased by Buggy's top half for stealing his treasure. Just as he is about to reach her, Luffy notices that his lower half has not moved at all, and kicks him between the legs. As Buggy hits the ground in pain, Luffy reminds him who he is fighting. Luffy tells Nami to abandon her treasures and run, but Nami refuses, claiming that since she stole it, the treasure is now hers. Buggy gets angry upon hearing this, but Nami reasons that she hasn't done anything bad enough to be told off by a pirate.

Buggy separates himself further, launching parts of himself at Nami. Luffy notices that his feet cannot fly and picks one of them up. As Buggy continues to chase Nami, Luffy tickles his foot and hits it on the ground, causing Buggy pain and discomfort and distracting him from attacking Nami. Nami swings the bag of treasure around to strike Buggy, but Buggy grabs the bag. With both of them refusing to let go, Buggy attempts to strike Nami with his knives. As he is poised to attack, Luffy kicks him in the head, knocking him into the bag and ripping it.

With Buggy momentarily incapacitated, Luffy grabs the map of the Grand Line. Buggy gets up and attempt to reform his body, but he realizes that he has only assembled with his hands, feet and head, since Nami has tied up the rest of his body parts. With Buggy realizing that he is defeated, Luffy lands a blow and sends him into the sky.",
21,Animal Theater: Luffy takes an after-dinner nap with a tiger.,"Luffy, having beaten Buggy, begins to leave the city with Zoro and Nami. Nami splits the loot into two bags: one for Luffy and one for herself. When the villagers arrive, they find Boodle unconscious, and Luffy admits that he knocked him out. The villages then ask if they are pirates, and Luffy cheerfully says he is, angering them and causing them to give chase. While the crew is running away, Luffy says that it must be a very good town, because they were prepared to fight pirates to protect a single person, but he also mentions that no matter what the villagers say, they are not going to stop.

On the way, they encounter Chouchou, who protects Luffy and the others. They reason that this is to pay back the debt of Luffy avenging the destruction of his owner's shop, as he refuses to let the villagers pass. Near the boat, they encounter three of Buggy's crew who Nami stole a boat from previously and who Zoro beat up afterwards. Luffy, carrying a worn out Zoro on his shoulders, is stopped by one of the pirates, who taps Zoro on the head, saying that he should not be a coward and should show his face. When Zoro lifts his head and glares at them, the three pirates run away in fear.

Meanwhile, the Mayor wakes up and finds the town's people around him. They tell him that they have chased Luffy and the rest out of town. As they curse the pirates, he gets angry, saying that he is the only one allowed to insult them. He rushes to the harbor to thank the crew.

As the boat leaves, Luffy says he left his bag of treasure back at the harbor to help them rebuild. Out of rage, Nami threatens to drown him in the sea, calling him an idiot.",
22,"Color Cover: Luffy makes mochi with a pack of moon rabbits, pounding so hard that the mortar cracks in two.","Nami fixes Luffy's straw hat after Buggy damaged it previously, much to his delight. Despite her warnings, he pokes the hat and puts a hole in it, causing Nami to stab him in the forehead with her sewing needle. Zoro wakes up due to the noise and starts asking for food. Nami spots an island in the distance, and Luffy directs the ship towards the island as fast as possible in the hopes of food.

The crew lands to find the island is deserted and covered in forest. Luffy calls to Zoro, but since he is asleep, he and Nami go exploring without him. They find a dog/chicken hybrid creature, then a snake/rabbit and a pig/lion. Suddenly, a voice booms out a warning for them to leave before the curse of the island effects them, and that they will die. Nami and Luffy call the guardian's bluff, and Luffy is shot by a bullet. After bouncing the bullet back using his Devil Fruit ability, Luffy and Nami follow the direction of the shot and find a strange object resembling a chest with hair on top.

When they examine it, the strange object moves and runs away, but it trips and falls over, revealing a person inside it. Gaimon introduces himself, revealing he has been stuck in a treasure chest for 20 years and has not spoken to another human being in all that time. Luffy attempts to pull Gaimon out, but Gaimon claims his body will fall apart if he leaves the chest, because it has become molded to fit over the years. Gaimon explains he used to be a pirate and is happy to meet others who are pirates. As Luffy and Gaimon talk, the Grand Line is mentioned and they show Gaimon the map they have. Unfortunately, Gaimon lacks any specific knowledge, and cannot tell them where the Grand Line is.

Nami interrupts and explains the Grand Line to them. The world is separated into two parts with one continent - the Red Line - separating the parts. The Grand Line further divides up the world, splitting it into four seas and the Grand Line itself. The only person to conquer the Grand Line was Gold Roger. Gaimon states the Grand Line is known as the ""pirates graveyard"", and that although he has seen pirates that returned from that area of sea, they were changed men who had lost the will to live.

Gaimon goes on to explain the One Piece legend; in over twenty years, not one person has found the treasure left by Gold Roger at the end of the Grand Line. After hearing that it may not even be real, Nami has doubts about Luffy's goal. Gaimon tells the pair he cannot leave until his mind is set at ease about something.

Twenty years ago, Gaimon came to the island to find treasure with a pirate crew, but could not find the treasure anywhere. Gaimon, determined that there is treasure, wanders off to look further. He finds a hill the crew had looked around, but not on the summit. He climbs the hill, and finds treasure chests in a dip on the top. Astonished to actually find the treasure, he fells down the hill into an empty chest his crew found earlier and fell unconscious. After he awoke, he was stuck inside the chest, and found that the crew had sailed away without him. Realizing that he now has a claim to all the treasure, he attempts to go back to retrieve it, but as he is stuck in the chest he cannot climb the hill to reach it. He returns to the shore to call to his crew, but they never returned.

Gaimon explains that over the years, a few pirates have come to the island to find the treasure, and Gaimon has scared them off with his threats of a curse. Nami and Luffy agree to get the treasures for Gaimon, as they rightfully belong to him for guarding them so long. As they approach the hill, Gaimon gets excited that the treasure he has desired for so long is finally within his reach.

Luffy finds five chests on the top of the hill, but refuses to throw them down. Nami is furious, but Gaimon guesses what's wrong. After twenty years of guarding them, the treasure chest are revealed to be empty, looted before Gaimon ever set foot on the island.

Tearfully, Gaimon thanks Luffy and Nami for their kindness, despite learning  the fate of the treasure. Even though Gaimon is upset, Luffy lightens him up by saying that in another twenty years Gaimon might have died without knowing the treasure was gone. He then offers him the chance to join his crew and find One Piece, but Gaimon declines.

As Nami and Luffy leave, he explains that he already has another treasure to protect. Most of the people who come to the island are poachers, trying to kill the strange animals on the island. After guarding the treasure for twenty years, he feels attached to them and despite not having the treasure he can live happily protecting the island. Luffy promises to leave and find One Piece some day.",
23,"Animal Theater: Atop a set of lily-pads, Zoro, Luffy, and a giant frog make barrels; on the shore, Nami stands with umbrella raised.","The chapter starts with Nami scolding Luffy for being reckless and ill prepared for the Grand Line. While Luffy and Zoro say the only important things they need are food and alcohol, Nami begins to plan their future. She tells them they need to head south to a nearby island to get a ship and supplies.

On an island, Usopp stands looking out to sea. He dashes into his village and begins shouting ""The pirates are coming!"", but as he runs further, he announces that he was lying. The villagers begin to chase him and throw objects, but he outruns them all. As the villagers lose sight of him and wonder where he went, he laughs and brags to himself that they were tricked once again. As he rests back in the tree he was hiding in, Piiman and Ninjin show up. As they wonder where their fourth member is, Tamanegi rushes up, saying that there are pirates approaching the island.

The others accuse him of lying, but he claims the ship even has the flag of the Buggy Pirates on it. After hearing this, Usopp tries to make up excuses to run away, but the others see through it. When Tamanegi mentions he could only see three pirates, Usopp changes his mind and prepares to repel the attackers.

Luffy, Nami and Zoro reach the island and land, unaware at first that Usopp and the others are watching them, but Zoro spots them. Piiman, Ninjin and Tamanegi run away, leaving Usopp alone. Usopp claims to be the toughest pirate of the village, with a vast army of followers. When Nami accuses him of lying, he accidentally admits to it: in trying to recover, he makes Luffy laugh, and he claims to be ""Usopp the Proud"".

At a restaurant, Luffy and the others dig into a meal. Usopp tells them that if they want a ship, they should try the mansion in town, where a sick young girl lives. Her parents died the year before, leaving all their fortune and servants to her, and making her incredibly wealthy. Nami says that they should move onto the next village and try there. Usopp offers to be their captain, but the Straw Hats refuse and keep eating, much to his despair.

At the mansion, the young girl Kaya asks her butler Klahadore if she can meet Usopp.",
24,Animal Theater: Nami beats a giant snake into helping her protect a nest of baby birds.,"Piiman, Ninjin, and Tamanegi sneak across town to the restaurant where Zoro, Nami and Luffy are eating. Afraid their captain is being held hostage, they approach with caution, until they simply barge in and find Usopp gone. Seeing Luffy eating meat scares them, and Zoro jokes about having just eaten their captain. After things settle down, the Usopp Pirates work out that Usopp has gone off to visit the mansion where the sick girl lives. He apparently goes there every day to lie and tell her stories.

At the mansion, Klahadore the butler explains to his mistress Kaya that he will not allow Usopp inside, on account of his lying. He explains that it is his duty to see she is safe and well on behalf of her late father, and mentions there are two bodyguards on the front gate. Despite his efforts, as soon as Klahadore leaves, Usopp appears outside Kaya's window, claiming nothing could keep him away. Usopp goes onto tell her a story about landing on a giant goldfish's excrement and thinking it was an island, making her laugh.

Back at the restaurant the boys finish explaining to Luffy and the others why they like their captain, and Luffy announces they will go to the mansion, both to ask for a ship and to see Kaya.

After they reach the mansion, Luffy climbs over the gate. After Merry tells Klahadore that there are intruders, he enquires about the bodyguards, and Merry says that they're having lunch. As Usopp finishes his story about feeding a giant goldfish to a tribe of dwarves, Luffy and Usopp's pirates appear and greet him. Usopp tells Kaya that they've heard how great he is and want to join him, but Luffy promptly states that that's a lie. As Luffy asks Kaya for a big ship, Klahadore appears and demands to know what they are doing. Klahadore tells Luffy he will not get a ship and that they all need to leave.

Klahadore begins to insult Usopp because his father is a pirate, and that as far as he is concerned all pirates are filthy. When he asks what Usopp wants from Kaya, money or otherwise, Kaya becomes upset. She screams at Klahadore to stop, but the butler continues insulting Usopp, telling him to use one of his usual lies instead of admit to being the son of a pirate. Usopp loses his temper and punches Klahadore for insulting his father, shouting that he is proud to be the son of a pirate.",
25,"Color Cover: The Straw Hat Pirates enter a forest with a giant fish that can ""swim"" through the air; Luffy clings to one side, with Zoro walking on the other, all the while Nami sits reading on its back.","Klahadore continues to insult Usopp despite being knocked down, insisting although he is not a pirate his father's blood still makes him resort to violence when he is insulted. The butler asks Usopp if he is only after Kaya's money, but before he lands another punch, Kaya begs Usopp to stop. As Usopp lets the butler go, Klahadore warns him about never returning to the mansion, and Usopp angrily agrees. The Usopp Pirates and Luffy insult Usopp for giving in so easily; as they are told to leave, the four try to go after the butler, but are held back by Zoro and Nami.

In the mansion. Kaya refuses to eat her meal, miserably explaining she does not want it. Her butler insists she eat so as to not disappoint the chefs. Kaya tells him he should not have insulted Usopp, and Klahadore explains that she should have faith in him, since he has worked for her for three years after losing his job on the ship he worked for. He explains he could not bear to carry the burden of failing his former employer, Kaya's father, who saved his life.

Near the village, Nami, Zoro, Ninjin, and Piiman are sitting on a fence, and Nami wonders where Luffy got to. When Zoro explains he went looking for Usopp, the members of Usopp's Pirates explain Usopp will be at the coast. Tamanegi is missing, but Ninjin and Piiman tell them he always goes away and comes back overreacting about something. Immediately afterwards, Tamanegi runs towards them, shouting about a man walking backwards, only for the others to accuse him of lying. Shortly afterwards, the hypnotist Jango shows up, walking backwards. Jango is asked to show the three children his hypnotist tricks, but when he does it results in both him and the Usopp pirates falling asleep.

At the coast, Usopp sits alone on the cliff staring out to sea. Luffy appears in front of him suddenly, hanging upside down out of the tree Usopp is sitting under. Luffy asks him if his father was called Yasopp, astonishing Usopp before he asks how he knew. Luffy explains how he met him when he was young, in Foosha Village. Yasopp was his favorite member of the Red Hair Pirates, and Luffy is sure he is still be with Shanks even now. Usopp cannot believe his father is with Shanks.

In a flashback to Luffy's youth when he met Shanks and his crew, Yasopp demonstrates his sharp-shooting skills to Luffy by shooting an apple off a barrel. Later at the local bar, Yasopp begins to tell Luffy about his son his age. When Luffy has heard enough and is getting bored, a glass is placed on his head by Yasopp, who taps it. Yasopp stands up and calls to the other that the Jolly Roger had called him to piracy, with the rest of the crew responding by throwing their hands in the air in approval.

Back in the present. Usopp explains he is proud of his father and he would gladly return to the mansion, despite his pride, if the butler apologized. Luffy notices that Klahadore is on the beach below them with another man, Jango. Jango confirms to the butler that the plan to murder the mansion owner is ready.",
26,"Animal Theater: Woodpeckers begin destroying the Straw Hats' ship, much to Nami and Zoro's horror—and Luffy's complete disregard.","Klahadore asks Jango to not mention the word ""murder"" and to stop calling him Captain Kuro. Usopp and Luffy spy on the pair and Usopp suddenly remembers the name ""Captain Kuro"". Usopp recalls he was a feared pirate who raided many towns and was finally put to death three years ago after he was captured by the Marines.

Jango finds it amusing his captain declared he was bored with a pirate's life, made him captain and secretly settled in the village, but so long as there is a reward he is happy doing whatever Kuro asks of him. According to Kuro, all Jango has to do is hypnotize Kaya to sign a will so he rightfully owns the mansion because ""Klahadore"" is not a member of the family and therefore cannot inherit her fortune otherwise. Once the task is done he must then kill her without making it look like she was murdered. Jango mocks his former captain, stating that if it was him, he would just invade the mansion and takes the riches, however Kuro reminds him that would make him a pirate again. Jango mocks him once again for asking for a peaceful life when he plans to kill everyone to get Kaya's money, but Kuro states he did not expect some things like Kaya's parents death as they died unexpectedly in an accident.

As Usopp slowly comes round to the realization of what he is hearing, he has to contend with Luffy who was not fully listening. While he deals with thoughts related to the problem at hand, Luffy stands up and shouts to the pair below them. While Usopp is horrified at what Luffy did, Usopp grabs him to pull him down before he is seen, but Kuro and Jango look up the cliff and see the pair.

All of a sudden, Jango holds up his ring and begins to hypnotize the pair, while Usopp looks away in time, Luffy is clueless about the ring to do so. While Luffy has fallen asleep, so apparently has Jango, Usopp yells to Luffy but Luffy falls off the cliff seemingly to his death. While Usopp yells about killing Luffy, Jango asks if Usopp should be killed as well but Kuro just states even if he tells the village no one will believe Usopp on what he heard, due to Usopp's reputation as a liar.

As he rushes to the village, he passes Nami, Zoro, and the other Usopp Pirates. As Usopp enters the village and warns them, they think it is a prank again and are angry he has used the joke twice in one day. They tell him they have to punish him this time for lying as his joke has gone too far and that he is untrustworthy, telling him they would believe him if only he had been a trustworthy man like Klahadore.

Back at the coast, Kuro has gone to greet his men after three years away from them and ensure the plan in the morning. At the mansion, Kaya asks for Klahadore, another servant tells her he went to the next town. Back at the coast at the bottom of the cliff, Luffy is sound asleep.",
27,"Animal Theater: Zoro holds a training match with a kangaroo and her still-pouched joey, pitting his three shinai against their four.","At the mansion, Kaya and a servant discuss the glasses they brought Klahadore as an anniversary present from the next town.

In the village, Usopp is having trouble convincing the other villagers that the pirates really are coming and ends up fleeing in fear.

At the cliff, Luffy is awake, Nami, Zoro and the other Usopp Pirates are learning of the plan. Zoro questions why he was sleeping where he was, Luffy recalls being on the cliff before then. The Usopp Pirates realize they have to get away before the pirates coming tomorrow while they still have the chance to and run off. Luffy is more concerned with buying food from the butcher's shop before he is killed.

At the mansion Usopp arrives to save Miss Kaya. He tries to explain Klahadore is a pirate. Kaya does not believe Usopp and does not know what to make out of the story. As Kaya's other servant enters the room, Usopp is suddenly pounced upon by the two bodyguards out the front of the mansion, he struggles to break free. He knocks them out with his hand slingshot, Kaya beckons for him to stop. She believes Usopp is not the person she once knew. As the villagers come by the mansion, Usopp grabs Kaya, only to be slapped in the face and forced to let go. Kaya says Usopp is the worst person she knows and Usopp is forced to run when her servant gets a gun out and shots at him despite Kaya's plea. Usopp is hit by a shot in the arm, but manages to escape with his life. When Usopp is gone, Kaya faints onto his chest.

As he leaves the village, Luffy and the others catch up with him. He hides his wound from them and tries to say it was a lie to get back at the butler. The Usopp pirates believe him. The three kids wonder off home.

Later that night Usopp explains to Luffy, Nami and Zoro that because he always lies, the villagers did not believe him. Since the villagers think Usopp is lying, Usopp decides he will make the lie become just that, tomorrow he will wait for the pirates and face them off so the villagers will think it was indeed a lie. The others announce they will help him fight the pirates so he does not have to face them alone.",
28,"Color Spread: After a long day's harvest, fieldhands Luffy, Zoro, and Nami ride home on Farmer Shanks' cart; on the way, they find the vegetables they've picked have assumed their own faces.","Usopp, Nami, Zoro, and Luffy all agree to protect the village against Kuro and the Black Cat Pirates. Usopp is scared and his knees shake despite claiming he is not. Usopp begins to make a plan, he asks Zoro, Luffy and Nami what they can do and they reply Slicing, Stretching and stealing respectively, Usopp adds his skill is ""hide"".

Inside the mansion Klahadore and Kaya's other servant discuss Usopp's actions of the day while Kaya sleeps soundly in her bed. Klahadore finds the glasses that were supposed to be a present for him in the morning on their 3rd anniversary, they were specially made for him so he did not have to keep pushing his back up. As the other servant continues to talk, Klahadore suddenly begins to talk strangely. He looks to the crescent moon and states it makes him wild. Before his eyes, Klahadore smashes the glasses and looks devilishly at the other servant stating his present will be the mansion. Klahadore states that he no longer has to pretend as there is only a few hours left. He pulls out his cat claws from a bag he is carrying and turns them on the servant.

On board the ship of the Black Cat Pirates, Jango is awaken from his sleep to be told in a few hours they will have to go to work on the plan. Jango leaves his quarters walking backwards out of his cabin. Back at the coastline, Usopp and the others have now laid oil down the slope towards the village.

As morning breaks everyone readies for action. Both on the coast and the pirate ship. At the mansion, Klahadore enters the room where Kaya is sleeping. Jango and the crew arrive at the coastline leading to the village. At where Usopp and the others are there are no pirates, suddenly Usopp remembers there is more than one port along the coast line and they are at the wrong one. As panic breaks out, Usopp states the layout is the same and the coast is only three minutes away from this one. Nami realizes their boats are parked at that one. As Luffy rushes off, Nami tries to follow but her foot slides as she steps on the oil, as she slides she grabs hold of Zoro and uses him to get off the oil. Leaving him behind she rushes off to save her treasure. Zoro swears he will kill her, while everyone else rushes to the correct coast.

Usopp arrives there quickly and shoots some of the pirates down. Zoro is still trapped on the slope and Luffy is back at the village after going the wrong way.",
29,"Luffy, Zoro, and Nami snowboard down a hill.","Usopp realizes he is in trouble, as he is the only one standing to face off against the Black Cat Pirates. Jango mistakes Usopp's lie about having a large number of pirates as the truth, much to the disbelief of the crew.

The Black Cat pirates find a ship with treasure on it next to theirs. Usopp comments on how it's his treasure and tries to bribe them into leaving for it, but Jango and the others just state they'll take it anyway and that they will not leave. As Jango pulls out his ring to hypnotize Usopp, Nami shows up and bashes him on the head for trying to give them her treasure meanwhile Jango has put himself to asleep (again). With no sign of Luffy, Nami tells Usopp to go fight the pirate while she supports him. As the Black Cats begin to advance forward, Usopp and Nami throw some caltrops at the pirates that Usopp brought along.

Back at the other slope, Zoro lays on his back, tired from trying to get past the oil he slipped down. Finally he resorts to using his swords to climb up with. However he faces his next problem - he does not know which direction is north. Meanwhile Luffy is rushing around with no clue as to which direction is north either.

Back at the slope, the caltrops are working and Usopp pulls out his slingshot to fire at the pirates. After taking out a few, Nami comments on how she thinks she will have a rest now, only to find some of the caltrops are behind them, which Usopp blames on her. As she turns around, she sights Usopp getting hit as the crew finally makes it up the slope.

The crew pass by him, Usopp grabs the leg of the man who hit him, claiming he will make sure the next day is as peaceful as the last for the village. As a pirate goes to kill Usopp, Nami finally steps in and knocks him away, but in turn is knocked away also. Jango orders the crew to just ignore the pair as they must get to the village before Kuro's plan goes wrong and Kuro kills them all. Usopp makes another attempt to stop the pirates; suddenly they are knocked away as Zoro and Luffy finally arrive.",
30,Giant mecha versions of the Straw Hat Pirates rampage through a modern-day city.,"On the mansion doors steps, Kuro sits and he says the word ""late"". He pictures the other servant laying on the floor, injured and the room cut up from his attack. He comments on if Jango and the others are late he would kill them, setting off to find out where they may have gone.

On the slope, Jango stands behind his fallen crew. While Jango is looking on in awe and commenting to his crew about being defeated by a bunch of kids, Zoro, Luffy, Nami, and Usopp argue. Jango hypnotizes the crew into thinking that they are stronger than before, with one demonstrating this new found strength by shattering the nearby cliff wall. Sending them after Luffy and the others however, it is revealed that Jango also hypnotized Luffy at the same time to Zoro's complete disbelief.

Thrown into a hypnotized induced rage, Luffy successfully knocks back the Black Cat Pirates with his Gomu Gomu no Gatling Gun. Proceeding to storm past the invading pirates, Luffy grabs the figurehead of their ship and tears it off, turning to face the pirates. Realizing Luffy's intent to whack the entire crew with it, Jango quickly hypnotizes Luffy into falling asleep, causing the latter to drop the bow and crush himself and several pirates with it, the figurehead barely missing Jango himself. With Luffy having defeated the crew, Nami, Zoro, and Usopp begin to celebrate only for Jango to remind his crew that they will face Kuro's wrath if they fail.

While Zoro ensures the others know Luffy is not dead, two new voices suddenly call from on board the ship as somebody notices the stern missing; and Jango identifies them as the Nyaban Brothers.

Back at the village, Kuro heads towards the north coast only for Tamanegi to sight him; wondering why the butler would be walking around that early.",
31,"The Straw Hat Pirates mold their hearts' desires from a cloudbank—Luffy a ship, Zoro a set of swords and a barrel of ale, and Nami a hoard of treasure.","At the mansion, Kaya has a nightmare where Usopp attempts to kill her for insulting his pirate blood. She goes looking around the mansion for Klahadore, only to find her servant Merry laying on the floor.

Merry manages to regain consciousness; however, he is too weak to get up. He tells Kaya about Klahadore attacking and trying to kill him and how Usopp really was correct; Klahadore really is a pirate. Kaya cries because the only one who knew the truth was chased away from the village while trying to protect it. More startling is the news from Merry that everyone else in the mansion is on vacation, Merry calms Kaya down since nothing has happened yet. Klahadore is after treasure, Merry tells Kaya to just give him what he is after to protect her life so the village can stay safe.

The Usopp Pirates gather outside the village, commenting how they think their captain lied about lying about the pirates coming. Just then, they spot Miss Kaya heading out of town.

Back at the coast, Zoro stands ready to fight whatever is coming up from the Black Cat Pirates next. The Nyaban Brothers, Buchi and Sham, appear. The pair appear afraid to attack Zoro. Sham runs towards Zoro in a cowardly fashion. However, at the last second Sham suddenly becomes confident and reveals he was faking his cowardice. The next thing, Zoro sees Sham standing there with two of his swords attached to his back.",
