chapter_number,cover_page,in_depth_summary
11,Animal Theater: Luffy races a cheetah.,"Zoro stands seemingly victorious after slicing up Buggy. However, as he goes to free Luffy from his cage, Buggy's crew starts laughing. Nami questions to herself why the crew is doing so when Zoro suddenly finds himself struck in the side by a hand holding a knife. Buggy floats behind Zoro as he finds himself fighting the hand and boasts about his Devil Fruit powers, the Bara Bara no Mi.

Buggy sees he missed Zoro's vital parts, but Zoro is still injured and finds that he needs rescuing even though he had initially come to rescue Luffy. While Nami is simply shocked about the whole thing, Luffy calls Buggy ""Big Nose"" while claiming he is a jerk for striking Zoro in the back. Buggy gets angry and sends his hand out again, this time to kill Luffy; however, Luffy grasps the knife between his teeth. As Luffy claims he will finish Buggy, Buggy and his crew laugh. Luffy tells Zoro to escape, but Nami does not understand. Zoro, however, gets the idea of what Luffy is going to do.

Zoro attempts to escape, but Buggy launches his Bara Bara no Hou. Zoro heads for the cannon and turns it over to face Buggy and his crew. Nami lights the fuse and the cannon fires at the Buggy Pirates, destroying part of the rooftop they're in. Zoro asks who Nami is and, while she says she is just a thief, Luffy tells him she is their navigator. Nami denies Luffy's statement and follows behind them. While Buggy's crew is down for the count, Zoro goes to Luffy and, ignoring the request to find a way to open the cage, he grabs it and makes a break for it before Buggy fully recovers. Buggy's crew begins to find their bearings and find all three of them gone, as well as the key to Luffy's cage. Buggy's crew starts to search the town, but Zoro and Luffy are on a rooftop. Furious, Buggy declares war on them."
12,"Color Spread: A two-layered triptych of Luffy, Zoro, and Nami; the top layer shows each in full, gearing for battle, while the bottom gives a close-up on each of their faces.","Buggy gloats about his reputation as a pirate in front of his crew. He orders them to find Luffy, Nami, and Zoro no matter what. Mohji arrives riding Richie and asks Buggy if he could take Zoro out. Buggy replies that he does not mind.

Elsewhere, Zoro is still carrying Luffy in a cage. Suddenly, he collapses to the ground out of exhaustion. The pair notice there is a dog sitting staring at them. Luffy comments about how the dog is sitting so still that you cannot tell if he is real or not, before provoking the dog into biting him when he pokes him in the head. Nami shows up and explains to them that they will likely be found if they remain in the middle of the road. Nami throws a key to the cage in front of Luffy, but before he can grab it the dog eats the key. Luffy attempts to strangle the dog in anger. The mayor of the town Boodle shows up, demanding that they stop hurting the dog, Chouchou.

Boodle takes them to his house to rest, and explains why the dog is sitting where he is. He feeds him every day, and he is guarding his owner's pet store. Ten years ago, the mayor's friend and Chouchou's owner opened the store. Chouchou's owner went into hospital three months ago and never returned, leaving Chouchou behind to guard the store. Chouchou is covered in wounds from fighting the pirates: he is aware his owner will not be coming back, but he still guards the store because it is his treasure. Boodle talks about leaving the dog and moving away, but he admits he has changed his mind many times.

Just then, they hear the roar of Richie the lion. Boodle and Nami run away, leaving Chouchou, Luffy and Zoro behind. When Mohji and Richie arrive, they find Luffy still in his cage. Luffy mocks Mohji's hairstyle, provoking him. Mohji boasts about being such a good animal trainer that every animal follows his orders, but Chouchou bites him anyway. When Richie pounces on the cage to finish Luffy, he frees Luffy instead.

As the pair prepare to leave, not noticing that Luffy is still alive, Richie smells the food inside the Pet Store, and Mohji tells Richie that he can eat the food."
13,"Animal Theater: As Nami watches (and Zoro sleeps), Luffy goes fishing and catches a huge turtle.","After surviving an attack from Richie, Boodle and Nami struggle to believe Luffy could have lived. The mayor demands to know why Luffy is in Orange Town, and Luffy replies it's to acquire the map of the Grand Line and a navigator.

Meanwhile Richie and Mohji approach the pet store, only to find out Chouchou will not allow them inside. Chouchou fights the lion, but even though he loses, he will not surrender his treasure and the memory of his owner. As Luffy walks over to find Zoro, Mohji is angry over the dog as it bit him. But as Luffy approaches the pet store, he finds it ablaze with Chouchou barking at the loss of his greatest treasure.

Returning from the store, Mohji and his lion come across Luffy standing in the way. They cannot believe he is still alive and fail to understand what Luffy means by saying that he is a rubber man. Mohji sends Richie to attack, however to his shock and horror Luffy stops it with an attack. Mohji is astonished that Luffy has a Devil Fruit like his captain Buggy. Mohji begs for mercy, but Luffy explains he is not the one Mohji must say sorry to. Luffy stretches his arms to grab Mohji and throws him head first to the ground.

Nami and the mayor return at Chouchou's store's ruins. Nami expresses a strong dislike for all pirates for what has happened. When Luffy shows up, she takes her dislike for pirates out on him, but Boodle holds her back, preventing her from striking Luffy (although he states she could not kill him even if she tried). Luffy places a bag of pet food in front of Chouchou. Even though the bag of food is all that is left of the store, Chouchou is grateful to Luffy for what he has done. Nami is left wondering why Luffy did something so unlike a pirate.

Meanwhile, Buggy gives the order to prepare the Buggy Balls, as he is ready to wipe the town out."
14,"Animal Theater: With the full moon behind him and bats flying all around, Luffy strikes a classic vampire pose in a Captain's greatcoat.","Mohji reports back to Buggy; despite being afraid to tell Buggy about his failure, he feels he must warn him. However, he faints while he is warning him. The crew cannot make out what Mohji was trying to say, but Buggy becomes aware that he is facing a tough man and orders his men to hurry up the preparation of the Buggy Balls.

Outside the town, Chouchou arrives at the camp the townsfolk are staying at, injured but safe (to everyone's relief). Since Boodle failed to return with the dog, they are now worried.

Back in the town, Nami has changed her mind about Luffy being a pirate. The mayor gets frustrated at the pirates in the town, because while Chouchou and Luffy fought hard he stood back and did nothing. The mayor tells Luffy and Nami how only 40 years ago, the land was nothing but bare earth, and how the people moved here to forget all about the pirates that had previously done them wrong. The mayor declares the town is his treasure.

At that moment, Buggy launches a Buggy ball that hits the Mayor's house where Zoro was sleeping, making everyone fly from the ball's incredible damage. Luffy and the Mayor go crazy because Zoro is in the house, but Zoro simply gets up out of the rubble, awake and relatively unharmed. The mayor is in shock as his life's work is torn apart, and he cannot sit by while this is happening. Nami tries to calm him down, but the mayor is too upset about what is happening. As the mayor runs off, Luffy ensures Nami he will not let him die. Luffy asks Nami to join him, but Nami declares she will not become a pirate. However, she will help Luffy in exchange for any treasure they find.

As Buggy has a second shot readied, the Mayor shows up and stands in the way. He makes a stand against the pirates as elsewhere Luffy, Zoro, and Nami make their way to Buggy."
15,"Animal Theater: A herd of mammoths take the Straw Hats across a tundra—Luffy riding on the herd leader's trunk, Zoro on its tusk, and Nami on its back.","Boodle challenges Buggy over the matter of the town. While the crew laugh, Cabaji, Buggy's staff offers to deal with the mayor himself and leaps into the air to strike him down. Buggy steps in and tells Cabaji to back off, as the mayor challenged him directly. Boodle's claim that the town is his treasure amuses Buggy, who only views gold and silver as treasure.

Buggy splits his right arm off and sends it flying towards the mayor, grabbing him by the throat and lifting him off the ground. Trying to get Buggy off him, Boodle strikes at his throat where the hand is holding it. He struggles for air while Buggy gloats that, after this town, he plans on heading out into the Grand Line and stealing all the treasures there. Boodles's efforts amuse him, but Luffy appears in time to save the man and pulls the hand off Boodle's neck.

Buggy re-attaches his hand as Nami tells Zoro and Luffy to fight, while she grabs the Grand Line map and any treasures she can find nearby. The mayor is displeased about seeing Luffy and the others, as he wanted to fight Buggy on his own. Luffy however renders the mayor unconscious with a punch (much to Nami's shock), in order to make sure he is safe and does not get in the way.

Luffy then calls out to Buggy, shouting ""Hey, big nose!"" to provoke him. Because of his reputation of overreacting to anything related to his nose, Buggy's crew, Zoro and Nami are all horrified. Buggy then demands that his crew load another Buggy Ball into the cannon, while Zoro and Nami flee for cover. Launching the powerful cannonball towards Luffy, the rubber man blows himself up like a balloon and shoots the cannonball straight back at the Buggy Pirates."
16,"Color Cover: A typical day for the Buggy Pirates—Mohji grooming himself and Richie, Buggy pouring himself a drink with detached hands, and Cabaji brandishing his blades.","Nami demands that Luffy explain more about who he is, because she does not understand how he survived an attack from Richie. She also asks how he inflated himself, to which Luffy responds with the attack's name, much to Nami's dismay.

Buggy and Cabaji rise after having survived the attack from the reflected Buggy Ball, doing so by using other crew members as shields. Cabaji remarks that their current situation is the biggest humiliation their crew has ever received under their flag. Mohji regains consciousness and becomes upset at Cabaji, because Cabaji is holding an unconscious Richie. Cabaji tells Mohji that he used Ritchie as a shield so that his clothes would not get dirty. As Mohji goes over to check on Ritchie, he notices that Luffy is present.

Mohji warns his captain that he should be careful of Luffy, explaining that Luffy has eaten a Devil Fruit just like Buggy, and he is made of rubber. Nami, shocked, turns to Luffy who demonstrates his power by stretching his cheeks out. Buggy realizes that this is how Luffy reflected the Buggy Ball, and loses his temper with Mohji for not telling him about Luffy's powers sooner. Mohji is thrown by Buggy towards Luffy, who in turns slams him into a nearby wall and remarks that the fight has begun.

Cabaji, now on his unicycle, attacks Luffy, but Zoro intercepts the attack. Zoro remarks that if anyone is fighting with swords, he will be their opponent, and Cabaji replies that it would be an honor as a swordsman to kill Zoro. Luffy notices that Zoro is struggling by his wound from his earlier encounter with Buggy, and suggests that he should fight Cabaji while Zoro rests. Cabaji also notices the wound, and begins to attack Zoro using a fire-breathing trick, although Zoro evades the attack. Cabaji uses the opportunity to kick the wound, and Zoro falls to the ground in agony. Cabaji uses another trick to cause a dust storm to blind Zoro and strikes again. Zoro blocks the attack, but once again Cabaji kicks him directly in the wound and Zoro once again collapses in agony.

Cabaji mocks Zoro, saying that it is pathetic to see a grown man on the ground, and that it was a mistake for Zoro to make an enemy out of their crew. Nami decides that Zoro should have never started fighting, and begs Luffy to interfere; however, Luffy does nothing. Cabaji launches into the final attack, but Zoro gets up and knocks him aside. Zoro asks if Cabaji enjoys hitting his wound, before cutting himself again in the same spot. He declares his goal to be the world's greatest swordsman, and asks Cabaji if these additional wounds will satisfy him. Zoro then promises to show Cabaji the true difference in power levels between them, which leaves Luffy impressed."
17,"Color Cover: The Straw Hats meet a crew of pirate penguins; three of these pose with Zoro's katana, while another tries to gift Nami a fish.
(Note: the penguin captain's vest reads manchot - the French for penguin.)","Luffy cheers on Zoro while Nami points out how he looks like he is about to collapse after wounding himself on purpose. Zoro swears that he will not be defeated by another swordsman. Cabaji notes Zoro's determination, but adds that Zoro can use his wounds as a excuse once he has lost the fight; Zoro responds by claiming if he loses in this condition, then his fate is obvious and he will never be the world's greatest swordsman.

Nami whispers her plan to Luffy, while Buggy and Cabaji are distracted and the rest of Buggy's crew is unconscious; they will continue fighting while she steals Buggy's treasure from a warehouse. She expects the Grand Line map is still in Buggy's possession, not with the rest of the treasure, and says that after she gets the treasure, she will escape. She reasons that whether or not Luffy and Zoro win their fight does not depend on her, so she can escape without causing any problems; and if Luffy wins the fight and gets the map, then they can ""cooperate"" again before she leaves.

As the fight between Zoro and Cabaji rages on, Cabaji begins what he calls his best trick. After launching several tops at Zoro, he rides his unicycle up a wall and leaps high into the air to prepare a downward strike. Zoro manages to deflect all of the tops, but Buggy launches his hand with his devil fruit powers to grab Zoro, so that he cannot avoid Cabaji's attack. Luffy intervenes by stepping on Buggy's hand before he can grab Zoro - while Buggy recoils in pain, Luffy tells him that he shouldn't interfere with Zoro's fight. Cabaji continues to go for his attack even without his captain's help. Zoro dodges, but becomes exhausted due to the strain of his wounds, and says that he is tired. Cabaji interrupts to insult him, before being thrown from his unicycle by Zoro. Zoro then finishes his statement, saying that he is tired of fighting an opponent with such pitiful skills. Cabaji tries to retaliate with one final strike against Zoro, but Zoro uses his ""Oni Giri"" attack to finish off Cabaji. As Cabaji falls, he admits that it is shameful to be defeated by a common thief. Zoro collapses from exhaustion as he declares himself to be a pirate, telling Luffy that he is going to sleep. Luffy promises Zoro that he will finish things off.

Buggy is shocked to learn that Luffy and Zoro are pirates. Luffy demands that Buggy should hand over the Grand Line map, but Buggy responds that the Grand Line is not a place where nobodies like Luffy can go as they please, and asks Luffy what he intends to do there. Luffy responds that he is going to be the King of the Pirates, stunning Buggy, before he also declares that he will be the Pirate King. Luffy says that they should stop talking and begin their fight, but as they prepare to fight, Buggy remarks that Luffy's hat reminds him of a red-haired man he once knew."
18,"Animal Theater: Nami teaches a ring-tailed lemur how to draw maps; in the background, Luffy naps.","Buggy confirms the ""Red-Hair"" he mentioned was Shanks. Luffy demands he tell him where Shanks is. Buggy implies he may know where Shanks is, but Luffy calls him an idiot for the way he said it. Buggy loses his temper, asking him if he can reflect knives, only for Luffy to automatically confirm he cannot.

With that, Buggy attacks, and Luffy jumps to avoid him. Seeing Luffy in the air, Buggy points out that Luffy is now helpless as he cannot fly like Buggy. However, when he attacks, Luffy stretches his arm to a lampost and pulls himself out of the way. As Buggy's attack flies past, Luffy throws a long punch at Buggy, who dodges and tells Luffy that his power is also his weakness, and that he has now left himself open. He fails to notice that Luffy's punch has kept going, and that he has got hold of a windows ledge.  He uses the ledge to launch himself into another attack, which Buggy dodges again.

Luffy crashes into the ruins of a house behind him. After stealing the treasure, Nami watches the fight from a distance. Some of Buggy's crew decide to pretend to still be unconscious, rather than risk being killed if they get involved in the fight. Buggy launches another attack, sending out his arm holding three knives. Luffy grabs it, but Buggy separates his hand from the attacking arm to land the strike anyway. Luffy dodges, but is struck in the side of the face by one of the knives. The blow then pierces Luffy's straw hat.

Buggy mocks Luffy, thinking he is upset by his face being cut. Luffy reveals he is instead angry, because that last attack damaged his hat. Seeing Luffy call the hat his treasure, Buggy pulls his hand back towards him, with the hat run through by his knives. As Buggy holds the hat up, Luffy remembers the promise he made on the hat and runs after it. When he hears Luffy saying the hat belonged to Shanks, Buggy throws it to the ground, and explains he was once friends with Shanks. After Buggy spits on the hat, Luffy refuses to hear Buggy compare himself to Shanks, and throws a furious punch. Buggy separates his head while laughing, but Luffy instead hits him in the stomach."
19,"Animal Theater: Sitting atop a crate labeled ""DANGER"", Luffy prepares to brush a hippo's teeth.","Luffy is still mad that Buggy said Shanks was his friend, but Buggy insists he can say what he wants about the pirate. Buggy begins to separate his body, but Luffy hits him to stop him. The Buggy Pirates lying on the ground cannot believe their captain is losing. Nami suddenly realizes she is caught up in watching the fight.

Back at the camp outside the village, the villagers are now worried about their mayor. When Poro decides to head into town to find him, he is supported by the others, and they all go.

Buggy claims Shanks is the one person who has angered him the most over the years. He has a flashback about their time as fellow pirates. Shanks and Buggy are fighting on a pirate ship about whether the North Pole or South Pole is colder. An unnamed senior member of the crew steps in and stops their fight by banging their heads together, telling them if they really want to find to prove which is colder, then they should go and find out themselves.

A lookout tells the crew that there is an approaching vessel, and they prepare themselves for a fight. Buggy is delighted by the thought of getting some treasure from the ship, but Shanks replies there is more to being a pirate than treasure, despite what Buggy thinks. During the fight, Buggy finds a treasure map to an underwater treasure horde. Buggy hides the map, so he can claim the treasure himself.

Later that night, Shanks leaves a wild party on the ship to ask Buggy why he is not joining in, and explains they found a rare treasure on the enemy ship. Buggy shows signs of guilt, leaving Shanks wondering what Buggy is concealing. Since Buggy is convinced his plan will succeed, he discusses his future with Shanks and talks about leaving the ship. Shanks says he might also leave, find a crew and travel around the world as a pirate. Buggy mocks his ideas, telling Shanks he's too naïve and innocent to ever make it as a pirate, and that if it wasn't for his crazy ideas, he would have him on his crew. Shanks declines on the grounds that their views are too different, and they agree if they ever meet on the sea they will fight to the end.

Shanks reveals that the party was because they had found a Devil Fruit; after telling Buggy the powers and value of the fruit, Buggy makes up his mind to eat it the next day. In front of the entire crew, he swallows the Devil Fruit whole. He tells the others the fruit had no effect on him, and they all dismiss the stories they've heard about the Devil Fruits. Unknown to them, Buggy had already switched the fruit with a fake, and plans to sell it. That night, Buggy plans to leave the crew and begin his dream of becoming a pirate. Shanks surprises him by appearing suddenly; in desperation he hides the Devil Fruit in his mouth and the map in his jacket. Buggy manages to get Shanks to leave, but as he lets out a sigh of relief, Shanks once again pops up behind him, startling Buggy and causing him to swallow the Devil Fruit.

Buggy is in complete shock at what he has done, but before he could finish yelling at Shanks, Shanks points out a fluttering piece of paper heading over the side of the ship. Buggy realizes this is his map and leaps after it; as he lands in the water, he discovers the story about the sea turning against Devil Fruit users is true, and he is unable to swim. Up on the ship, the crew gathers wondering why Buggy has not come up yet since he is a good swimmer, and Shanks eventually dives into the water after him.

After hearing Buggy's story, Luffy is relieved to hear Shanks saved Buggy's life. This infuriates Buggy, as his plans were set back ten years due to losing the Devil Fruit. Buggy notices Nami with the stolen treasure, and launches the upper half of his body at her."
20,"Animal Theater: Zoro cuts through a bamboo forest while his panda ""trainer"" follows behind, eating the stalks.","Nami is being chased by Buggy's top half for stealing his treasure. Just as he is about to reach her, Luffy notices that his lower half has not moved at all, and kicks him between the legs. As Buggy hits the ground in pain, Luffy reminds him who he is fighting. Luffy tells Nami to abandon her treasures and run, but Nami refuses, claiming that since she stole it, the treasure is now hers. Buggy gets angry upon hearing this, but Nami reasons that she hasn't done anything bad enough to be told off by a pirate.

Buggy separates himself further, launching parts of himself at Nami. Luffy notices that his feet cannot fly and picks one of them up. As Buggy continues to chase Nami, Luffy tickles his foot and hits it on the ground, causing Buggy pain and discomfort and distracting him from attacking Nami. Nami swings the bag of treasure around to strike Buggy, but Buggy grabs the bag. With both of them refusing to let go, Buggy attempts to strike Nami with his knives. As he is poised to attack, Luffy kicks him in the head, knocking him into the bag and ripping it.

With Buggy momentarily incapacitated, Luffy grabs the map of the Grand Line. Buggy gets up and attempt to reform his body, but he realizes that he has only assembled with his hands, feet and head, since Nami has tied up the rest of his body parts. With Buggy realizing that he is defeated, Luffy lands a blow and sends him into the sky."
21,Animal Theater: Luffy takes an after-dinner nap with a tiger.,"Luffy, having beaten Buggy, begins to leave the city with Zoro and Nami. Nami splits the loot into two bags: one for Luffy and one for herself. When the villagers arrive, they find Boodle unconscious, and Luffy admits that he knocked him out. The villages then ask if they are pirates, and Luffy cheerfully says he is, angering them and causing them to give chase. While the crew is running away, Luffy says that it must be a very good town, because they were prepared to fight pirates to protect a single person, but he also mentions that no matter what the villagers say, they are not going to stop.

On the way, they encounter Chouchou, who protects Luffy and the others. They reason that this is to pay back the debt of Luffy avenging the destruction of his owner's shop, as he refuses to let the villagers pass. Near the boat, they encounter three of Buggy's crew who Nami stole a boat from previously and who Zoro beat up afterwards. Luffy, carrying a worn out Zoro on his shoulders, is stopped by one of the pirates, who taps Zoro on the head, saying that he should not be a coward and should show his face. When Zoro lifts his head and glares at them, the three pirates run away in fear.

Meanwhile, the Mayor wakes up and finds the town's people around him. They tell him that they have chased Luffy and the rest out of town. As they curse the pirates, he gets angry, saying that he is the only one allowed to insult them. He rushes to the harbor to thank the crew.

As the boat leaves, Luffy says he left his bag of treasure back at the harbor to help them rebuild. Out of rage, Nami threatens to drown him in the sea, calling him an idiot."
22,"Color Cover: Luffy makes mochi with a pack of moon rabbits, pounding so hard that the mortar cracks in two.","Nami fixes Luffy's straw hat after Buggy damaged it previously, much to his delight. Despite her warnings, he pokes the hat and puts a hole in it, causing Nami to stab him in the forehead with her sewing needle. Zoro wakes up due to the noise and starts asking for food. Nami spots an island in the distance, and Luffy directs the ship towards the island as fast as possible in the hopes of food.

The crew lands to find the island is deserted and covered in forest. Luffy calls to Zoro, but since he is asleep, he and Nami go exploring without him. They find a dog/chicken hybrid creature, then a snake/rabbit and a pig/lion. Suddenly, a voice booms out a warning for them to leave before the curse of the island effects them, and that they will die. Nami and Luffy call the guardian's bluff, and Luffy is shot by a bullet. After bouncing the bullet back using his Devil Fruit ability, Luffy and Nami follow the direction of the shot and find a strange object resembling a chest with hair on top.

When they examine it, the strange object moves and runs away, but it trips and falls over, revealing a person inside it. Gaimon introduces himself, revealing he has been stuck in a treasure chest for 20 years and has not spoken to another human being in all that time. Luffy attempts to pull Gaimon out, but Gaimon claims his body will fall apart if he leaves the chest, because it has become molded to fit over the years. Gaimon explains he used to be a pirate and is happy to meet others who are pirates. As Luffy and Gaimon talk, the Grand Line is mentioned and they show Gaimon the map they have. Unfortunately, Gaimon lacks any specific knowledge, and cannot tell them where the Grand Line is.

Nami interrupts and explains the Grand Line to them. The world is separated into two parts with one continent - the Red Line - separating the parts. The Grand Line further divides up the world, splitting it into four seas and the Grand Line itself. The only person to conquer the Grand Line was Gold Roger. Gaimon states the Grand Line is known as the ""pirates graveyard"", and that although he has seen pirates that returned from that area of sea, they were changed men who had lost the will to live.

Gaimon goes on to explain the One Piece legend; in over twenty years, not one person has found the treasure left by Gold Roger at the end of the Grand Line. After hearing that it may not even be real, Nami has doubts about Luffy's goal. Gaimon tells the pair he cannot leave until his mind is set at ease about something.

Twenty years ago, Gaimon came to the island to find treasure with a pirate crew, but could not find the treasure anywhere. Gaimon, determined that there is treasure, wanders off to look further. He finds a hill the crew had looked around, but not on the summit. He climbs the hill, and finds treasure chests in a dip on the top. Astonished to actually find the treasure, he fells down the hill into an empty chest his crew found earlier and fell unconscious. After he awoke, he was stuck inside the chest, and found that the crew had sailed away without him. Realizing that he now has a claim to all the treasure, he attempts to go back to retrieve it, but as he is stuck in the chest he cannot climb the hill to reach it. He returns to the shore to call to his crew, but they never returned.

Gaimon explains that over the years, a few pirates have come to the island to find the treasure, and Gaimon has scared them off with his threats of a curse. Nami and Luffy agree to get the treasures for Gaimon, as they rightfully belong to him for guarding them so long. As they approach the hill, Gaimon gets excited that the treasure he has desired for so long is finally within his reach.

Luffy finds five chests on the top of the hill, but refuses to throw them down. Nami is furious, but Gaimon guesses what's wrong. After twenty years of guarding them, the treasure chest are revealed to be empty, looted before Gaimon ever set foot on the island.

Tearfully, Gaimon thanks Luffy and Nami for their kindness, despite learning  the fate of the treasure. Even though Gaimon is upset, Luffy lightens him up by saying that in another twenty years Gaimon might have died without knowing the treasure was gone. He then offers him the chance to join his crew and find One Piece, but Gaimon declines.

As Nami and Luffy leave, he explains that he already has another treasure to protect. Most of the people who come to the island are poachers, trying to kill the strange animals on the island. After guarding the treasure for twenty years, he feels attached to them and despite not having the treasure he can live happily protecting the island. Luffy promises to leave and find One Piece some day."
23,"Animal Theater: Atop a set of lily-pads, Zoro, Luffy, and a giant frog make barrels; on the shore, Nami stands with umbrella raised.","The chapter starts with Nami scolding Luffy for being reckless and ill prepared for the Grand Line. While Luffy and Zoro say the only important things they need are food and alcohol, Nami begins to plan their future. She tells them they need to head south to a nearby island to get a ship and supplies.

On an island, Usopp stands looking out to sea. He dashes into his village and begins shouting ""The pirates are coming!"", but as he runs further, he announces that he was lying. The villagers begin to chase him and throw objects, but he outruns them all. As the villagers lose sight of him and wonder where he went, he laughs and brags to himself that they were tricked once again. As he rests back in the tree he was hiding in, Piiman and Ninjin show up. As they wonder where their fourth member is, Tamanegi rushes up, saying that there are pirates approaching the island.

The others accuse him of lying, but he claims the ship even has the flag of the Buggy Pirates on it. After hearing this, Usopp tries to make up excuses to run away, but the others see through it. When Tamanegi mentions he could only see three pirates, Usopp changes his mind and prepares to repel the attackers.

Luffy, Nami and Zoro reach the island and land, unaware at first that Usopp and the others are watching them, but Zoro spots them. Piiman, Ninjin and Tamanegi run away, leaving Usopp alone. Usopp claims to be the toughest pirate of the village, with a vast army of followers. When Nami accuses him of lying, he accidentally admits to it: in trying to recover, he makes Luffy laugh, and he claims to be ""Usopp the Proud"".

At a restaurant, Luffy and the others dig into a meal. Usopp tells them that if they want a ship, they should try the mansion in town, where a sick young girl lives. Her parents died the year before, leaving all their fortune and servants to her, and making her incredibly wealthy. Nami says that they should move onto the next village and try there. Usopp offers to be their captain, but the Straw Hats refuse and keep eating, much to his despair.

At the mansion, the young girl Kaya asks her butler Klahadore if she can meet Usopp."
24,Animal Theater: Nami beats a giant snake into helping her protect a nest of baby birds.,"Piiman, Ninjin, and Tamanegi sneak across town to the restaurant where Zoro, Nami and Luffy are eating. Afraid their captain is being held hostage, they approach with caution, until they simply barge in and find Usopp gone. Seeing Luffy eating meat scares them, and Zoro jokes about having just eaten their captain. After things settle down, the Usopp Pirates work out that Usopp has gone off to visit the mansion where the sick girl lives. He apparently goes there every day to lie and tell her stories.

At the mansion, Klahadore the butler explains to his mistress Kaya that he will not allow Usopp inside, on account of his lying. He explains that it is his duty to see she is safe and well on behalf of her late father, and mentions there are two bodyguards on the front gate. Despite his efforts, as soon as Klahadore leaves, Usopp appears outside Kaya's window, claiming nothing could keep him away. Usopp goes onto tell her a story about landing on a giant goldfish's excrement and thinking it was an island, making her laugh.

Back at the restaurant the boys finish explaining to Luffy and the others why they like their captain, and Luffy announces they will go to the mansion, both to ask for a ship and to see Kaya.

After they reach the mansion, Luffy climbs over the gate. After Merry tells Klahadore that there are intruders, he enquires about the bodyguards, and Merry says that they're having lunch. As Usopp finishes his story about feeding a giant goldfish to a tribe of dwarves, Luffy and Usopp's pirates appear and greet him. Usopp tells Kaya that they've heard how great he is and want to join him, but Luffy promptly states that that's a lie. As Luffy asks Kaya for a big ship, Klahadore appears and demands to know what they are doing. Klahadore tells Luffy he will not get a ship and that they all need to leave.

Klahadore begins to insult Usopp because his father is a pirate, and that as far as he is concerned all pirates are filthy. When he asks what Usopp wants from Kaya, money or otherwise, Kaya becomes upset. She screams at Klahadore to stop, but the butler continues insulting Usopp, telling him to use one of his usual lies instead of admit to being the son of a pirate. Usopp loses his temper and punches Klahadore for insulting his father, shouting that he is proud to be the son of a pirate."
25,"Color Cover: The Straw Hat Pirates enter a forest with a giant fish that can ""swim"" through the air; Luffy clings to one side, with Zoro walking on the other, all the while Nami sits reading on its back.","Klahadore continues to insult Usopp despite being knocked down, insisting although he is not a pirate his father's blood still makes him resort to violence when he is insulted. The butler asks Usopp if he is only after Kaya's money, but before he lands another punch, Kaya begs Usopp to stop. As Usopp lets the butler go, Klahadore warns him about never returning to the mansion, and Usopp angrily agrees. The Usopp Pirates and Luffy insult Usopp for giving in so easily; as they are told to leave, the four try to go after the butler, but are held back by Zoro and Nami.

In the mansion. Kaya refuses to eat her meal, miserably explaining she does not want it. Her butler insists she eat so as to not disappoint the chefs. Kaya tells him he should not have insulted Usopp, and Klahadore explains that she should have faith in him, since he has worked for her for three years after losing his job on the ship he worked for. He explains he could not bear to carry the burden of failing his former employer, Kaya's father, who saved his life.

Near the village, Nami, Zoro, Ninjin, and Piiman are sitting on a fence, and Nami wonders where Luffy got to. When Zoro explains he went looking for Usopp, the members of Usopp's Pirates explain Usopp will be at the coast. Tamanegi is missing, but Ninjin and Piiman tell them he always goes away and comes back overreacting about something. Immediately afterwards, Tamanegi runs towards them, shouting about a man walking backwards, only for the others to accuse him of lying. Shortly afterwards, the hypnotist Jango shows up, walking backwards. Jango is asked to show the three children his hypnotist tricks, but when he does it results in both him and the Usopp pirates falling asleep.

At the coast, Usopp sits alone on the cliff staring out to sea. Luffy appears in front of him suddenly, hanging upside down out of the tree Usopp is sitting under. Luffy asks him if his father was called Yasopp, astonishing Usopp before he asks how he knew. Luffy explains how he met him when he was young, in Foosha Village. Yasopp was his favorite member of the Red Hair Pirates, and Luffy is sure he is still be with Shanks even now. Usopp cannot believe his father is with Shanks.

In a flashback to Luffy's youth when he met Shanks and his crew, Yasopp demonstrates his sharp-shooting skills to Luffy by shooting an apple off a barrel. Later at the local bar, Yasopp begins to tell Luffy about his son his age. When Luffy has heard enough and is getting bored, a glass is placed on his head by Yasopp, who taps it. Yasopp stands up and calls to the other that the Jolly Roger had called him to piracy, with the rest of the crew responding by throwing their hands in the air in approval.

Back in the present. Usopp explains he is proud of his father and he would gladly return to the mansion, despite his pride, if the butler apologized. Luffy notices that Klahadore is on the beach below them with another man, Jango. Jango confirms to the butler that the plan to murder the mansion owner is ready."
